animal_id,species,age,breed,previous_mastitis,lactation,milk_production,abnormal_milk,clots_flakes,watery_milk,color_change,udder_swelling,udder_heat,udder_pain,udder_redness,udder_hardness,somatic_cell_count,milk_conductivity,milk_ph,mastitis
BOV-1214,Cow,10,Jersey,No,8,normal,No,No,No,No,No,No,No,No,No,169661,5.63,6.52,0
BOV-1215,Cow,8,Sahiwal,Yes,6,decreased,Yes,No,Yes,Yes,Yes,No,Yes,No,No,1087949,7.06,7.31,1
BOV-1216,Cow,10,Holstein,No,8,normal,No,No,No,No,No,Don't Know,No,No,No,148232,5.18,6.62,0
BOV-1217,Cow,3,Holstein,No,2,decreased,No,Yes,Yes,Yes,Yes,Yes,No,No,No,995521,8.75,7.06,1
BOV-1218,Cow,9,Gir,No,8,normal,No,No,No,No,No,No,No,No,No,134544,5.75,6.6,0
BOV-1219,Buffalo,9,Local,Don't Know,8,normal,Yes,No,No,No,No,Don't Know,No,No,No,156611,5.54,6.48,0
BOV-1220,Cow,3,Crossbred,Yes,2,normal,No,No,No,No,No,No,Don't Know,No,No,121167,4.6,6.59,0
BOV-1221,Cow,5,Holstein,No,4,normal,No,No,No,No,No,No,Don't Know,No,No,112493,4.87,6.58,0
BOV-1222,Cow,8,Crossbred,Yes,6,decreased,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,1866767,8.88,7.37,1
BOV-1223,Cow,5,Holstein,No,3,normal,No,No,No,No,No,No,No,No,No,159296,5.31,6.56,0
BOV-1224,Cow,5,Jersey,No,4,decreased,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,785535,7.25,6.84,1
BOV-1225,Cow,7,Sahiwal,No,6,decreased,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,2465943,8.77,6.82,1
BOV-1226,Buffalo,11,Murrah,Yes,8,decreased,Yes,Yes,Yes,Yes,No,Yes,Don't Know,Yes,No,1742639,8.52,6.93,1
BOV-1227,Cow,7,Crossbred,Yes,5,decreased,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,2209657,7.13,6.87,1
BOV-1228,Buffalo,11,Nili-Ravi,No,8,decreased,Yes,No,No,No,Yes,Yes,Yes,No,Yes,1139607,7.9,7.39,1
BOV-1229,Cow,4,Holstein,No,3,normal,No,No,No,No,No,No,Don't Know,No,No,50232,4.87,6.66,0
BOV-1230,Buffalo,10,Jafarabadi,Yes,8,normal,No,No,No,No,No,No,No,No,No,74566,5.33,6.69,0
BOV-1231,Cow,11,Sahiwal,No,8,normal,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,1923989,7.27,6.95,1
BOV-1232,Cow,3,Holstein,Yes,2,normal,No,No,No,No,No,Don't Know,No,No,No,186947,4.78,6.56,0
BOV-1233,Cow,7,Jersey,No,6,normal,No,No,No,No,No,No,No,No,No,135574,5.05,6.46,0
BOV-1234,Cow,8,Gir,No,7,normal,No,No,No,No,No,Don't Know,No,No,No,129652,5.71,6.68,0
BOV-1235,Cow,10,Jersey,No,8,decreased,No,No,No,No,No,No,Don't Know,No,No,155036,4.75,6.67,0
BOV-1236,Cow,4,Jersey,Yes,3,normal,No,No,No,No,No,Don't Know,No,No,No,167211,5.0,6.64,0
BOV-1237,Cow,11,Gir,No,8,normal,No,No,No,No,No,No,Yes,No,No,138083,5.18,6.66,0
BOV-1238,Cow,4,Jersey,Yes,3,decreased,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,875970,8.66,7.28,1
BOV-1239,Cow,8,Gir,Don't Know,6,normal,No,No,No,No,No,No,Don't Know,Yes,No,108928,5.61,6.64,0
BOV-1240,Buffalo,5,Murrah,Yes,3,normal,No,No,No,No,No,Don't Know,Yes,No,No,85327,5.11,6.58,0
BOV-1241,Buffalo,9,Local,No,8,normal,No,No,Yes,No,Yes,Yes,Yes,No,Yes,458417,6.53,7.05,1
BOV-1242,Buffalo,8,Jafarabadi,Don't Know,7,normal,No,No,No,No,No,No,No,No,No,177919,5.06,6.62,0
BOV-1243,Cow,6,Gir,No,4,normal,Yes,Yes,Yes,No,Yes,Don't Know,Yes,No,Yes,579535,8.12,7.16,1
BOV-1244,Cow,8,Sahiwal,No,6,decreased,No,No,No,No,No,No,No,No,No,166982,4.7,6.4,0
BOV-1245,Buffalo,4,Jafarabadi,No,2,decreased,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,2216854,8.02,7.05,1
BOV-1246,Cow,3,Gir,Don't Know,1,normal,No,No,No,No,No,Don't Know,Don't Know,No,No,102958,5.2,6.64,0
BOV-1247,Buffalo,7,Nili-Ravi,No,5,normal,No,No,No,No,No,Yes,No,No,No,127643,5.72,6.58,0
BOV-1248,Buffalo,3,Local,No,1,normal,No,No,No,No,No,Yes,Don't Know,No,No,173676,5.0,6.5,0
BOV-1249,Buffalo,4,Murrah,No,2,normal,No,No,No,No,No,No,No,No,No,171430,4.9,6.55,0
BOV-1250,Cow,7,Sahiwal,No,5,decreased,No,Yes,Yes,No,Yes,Yes,Yes,No,No,1739751,7.5,6.94,1
BOV-1251,Cow,6,Crossbred,No,4,normal,No,No,No,No,No,Don't Know,No,No,No,97647,4.87,6.54,0
BOV-1252,Buffalo,9,Local,No,8,decreased,Yes,No,Yes,Yes,Yes,Yes,Don't Know,No,Yes,2176066,7.8,7.2,1
BOV-1253,Cow,10,Holstein,Yes,8,decreased,Yes,No,No,No,Yes,Yes,No,Yes,Yes,2210625,8.2,7.26,1
BOV-1254,Cow,4,Holstein,Yes,3,normal,No,No,No,No,No,Don't Know,No,No,No,147487,5.19,6.43,0
BOV-1255,Cow,11,Crossbred,Yes,8,normal,No,No,No,No,No,No,No,No,No,124180,4.71,6.42,0
BOV-1256,Buffalo,4,Jafarabadi,No,3,normal,Yes,No,No,No,No,No,Yes,No,No,177924,4.69,6.61,0
BOV-1257,Cow,4,Gir,Yes,2,normal,No,No,No,No,No,No,No,No,No,96261,5.76,6.68,0
BOV-1258,Cow,7,Jersey,No,5,normal,No,No,No,No,No,Don't Know,No,No,No,74283,4.99,6.51,0
BOV-1259,Cow,2,Sahiwal,No,1,decreased,No,No,No,No,No,No,Yes,No,No,173919,5.54,6.5,0
BOV-1260,Cow,8,Jersey,No,6,normal,No,No,No,No,No,No,No,No,No,106141,4.95,6.65,0
BOV-1261,Buffalo,2,Murrah,Yes,1,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,600276,8.91,6.94,1
BOV-1262,Cow,6,Holstein,Yes,5,decreased,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,2108025,7.2,7.18,1
BOV-1263,Cow,11,Holstein,No,8,decreased,No,No,No,Yes,No,Yes,Yes,No,Yes,2362181,6.71,7.21,1
BOV-1264,Buffalo,9,Local,No,7,normal,No,No,No,No,No,No,No,No,No,108576,5.1,6.4,0
BOV-1265,Cow,5,Holstein,Yes,4,decreased,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2444571,7.1,7.28,1
BOV-1266,Cow,6,Holstein,No,4,decreased,No,No,No,Yes,No,No,Don't Know,No,No,91035,4.55,6.7,0
BOV-1267,Cow,5,Sahiwal,No,4,normal,No,No,No,No,No,No,No,No,No,194443,4.75,6.49,0
BOV-1268,Cow,5,Sahiwal,No,4,decreased,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,1087625,7.38,6.81,1
BOV-1269,Cow,9,Crossbred,No,8,normal,No,No,No,No,No,No,No,No,No,182180,5.22,6.56,0
BOV-1270,Buffalo,3,Local,Don't Know,1,normal,Yes,No,No,No,No,No,No,No,No,140784,5.66,6.55,0
BOV-1271,Buffalo,2,Murrah,No,1,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1039822,8.49,6.84,1
BOV-1272,Buffalo,4,Jafarabadi,No,2,normal,No,No,No,No,No,No,No,No,No,101676,4.63,6.69,0
BOV-1273,Buffalo,10,Murrah,No,8,decreased,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,810356,6.89,6.95,1
BOV-1274,Cow,5,Crossbred,No,4,normal,No,No,No,No,No,No,No,No,No,176873,4.61,6.67,0
BOV-1275,Cow,11,Gir,No,8,normal,No,No,No,No,No,No,No,No,No,65575,4.63,6.4,0
BOV-1276,Buffalo,6,Jafarabadi,No,4,normal,No,No,No,No,No,No,No,No,No,160873,4.87,6.67,0
BOV-1277,Cow,3,Gir,No,1,normal,No,No,No,No,No,Don't Know,No,No,No,119615,5.2,6.45,0
BOV-1278,Cow,5,Crossbred,No,3,normal,No,No,No,No,No,No,No,No,No,168465,5.03,6.5,0
BOV-1279,Buffalo,3,Murrah,No,1,normal,No,No,No,No,No,Don't Know,Don't Know,No,No,112579,5.49,6.7,0
BOV-1280,Buffalo,3,Murrah,No,1,decreased,Yes,Yes,No,No,Yes,No,No,Yes,No,1572183,6.67,7.19,1
BOV-1281,Cow,5,Crossbred,Yes,4,decreased,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,597560,7.19,7.23,1
BOV-1282,Cow,7,Gir,No,5,normal,No,No,No,No,No,Yes,No,No,No,96506,5.63,6.47,0
BOV-1283,Cow,8,Jersey,No,7,decreased,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,836189,6.65,6.85,1
BOV-1284,Cow,11,Holstein,No,8,normal,No,No,No,No,No,No,No,No,No,139837,5.38,6.63,0
BOV-1285,Cow,4,Gir,Yes,2,normal,No,Yes,No,No,No,Don't Know,No,No,No,144941,5.01,6.46,0
BOV-1286,Cow,4,Jersey,No,2,normal,No,No,No,No,No,No,No,No,No,102601,4.83,6.61,0
BOV-1287,Cow,11,Jersey,Yes,8,decreased,Yes,No,No,No,Yes,Yes,Don't Know,Yes,No,614183,6.99,7.15,1
BOV-1288,Cow,7,Sahiwal,Don't Know,5,decreased,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1484070,8.08,7.11,1
BOV-1289,Cow,4,Holstein,Yes,2,normal,No,No,No,No,No,No,No,No,No,66846,5.3,6.53,0
BOV-1290,Cow,3,Jersey,No,2,decreased,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1334903,8.71,7.31,1
BOV-1291,Cow,9,Gir,Yes,8,decreased,No,Yes,Yes,No,Yes,Yes,Yes,No,No,2176861,8.55,6.9,1
BOV-1292,Buffalo,6,Jafarabadi,Don't Know,5,normal,Yes,No,Yes,No,Yes,Yes,Yes,No,No,1106998,9.19,7.31,1
BOV-1293,Cow,2,Sahiwal,No,1,normal,Yes,No,No,No,No,No,No,No,Yes,134472,5.41,6.66,0
BOV-1294,Cow,4,Holstein,Yes,3,decreased,No,Yes,No,No,No,No,No,No,No,178145,5.71,6.66,0
BOV-1295,Cow,11,Crossbred,No,8,decreased,Yes,Yes,Yes,No,Yes,No,Yes,No,No,1016289,8.64,6.94,1
BOV-1296,Buffalo,9,Jafarabadi,Yes,8,decreased,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,1576000,8.52,7.27,1
BOV-1297,Cow,5,Gir,Yes,4,decreased,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,1008093,7.54,7.3,1
BOV-1298,Cow,8,Jersey,Don't Know,7,decreased,No,No,No,No,No,No,No,No,No,189393,5.1,6.47,0
BOV-1299,Cow,11,Jersey,No,8,normal,No,No,No,No,No,No,No,No,No,169122,4.54,6.59,0
BOV-1300,Cow,3,Gir,No,1,normal,No,No,No,No,No,Don't Know,No,No,No,109754,4.79,6.68,0
BOV-1301,Cow,8,Jersey,No,7,normal,No,No,No,No,No,No,No,No,No,114431,5.73,6.41,0
BOV-1302,Cow,6,Sahiwal,No,5,normal,No,No,No,No,No,No,No,No,No,171891,5.6,6.63,0
BOV-1303,Cow,6,Holstein,Yes,5,normal,No,No,No,No,No,Don't Know,Don't Know,No,No,77476,5.38,6.43,0
BOV-1304,Cow,7,Sahiwal,Yes,5,normal,No,No,No,No,No,No,Yes,No,No,171491,5.65,6.68,0
BOV-1305,Buffalo,10,Local,No,8,decreased,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,695770,7.81,7.21,1
BOV-1306,Cow,7,Jersey,Don't Know,5,normal,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,2192371,8.46,7.31,1
BOV-1307,Cow,9,Crossbred,No,8,decreased,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2447325,9.16,7.11,1
BOV-1308,Buffalo,8,Local,No,7,normal,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,1008185,6.96,7.17,1
BOV-1309,Cow,10,Holstein,No,8,normal,No,No,No,No,No,No,No,No,No,64497,4.54,6.57,0
BOV-1310,Cow,5,Holstein,Don't Know,4,normal,No,No,Yes,No,Yes,No,No,No,No,70964,5.4,6.44,0
BOV-1311,Cow,3,Gir,No,2,decreased,Yes,Yes,Yes,Yes,Yes,Don't Know,Yes,No,Yes,2103316,6.99,7.38,1
BOV-1312,Cow,8,Gir,No,7,normal,No,No,No,No,No,Don't Know,Don't Know,No,No,104721,5.08,6.41,0
BOV-1313,Buffalo,7,Jafarabadi,No,5,decreased,No,No,No,No,No,No,No,No,No,52107,4.61,6.57,0
BOV-1314,Buffalo,2,Murrah,Yes,1,normal,No,No,Yes,No,Yes,Yes,Yes,Yes,No,1062023,8.99,6.94,1
BOV-1315,Cow,10,Holstein,Yes,8,decreased,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1269176,8.8,7.1,1
BOV-1316,Cow,10,Crossbred,No,8,decreased,Yes,Yes,No,No,No,Yes,Yes,No,Yes,832485,7.23,7.28,1
BOV-1317,Cow,3,Gir,Don't Know,2,normal,No,No,No,No,No,No,No,No,No,116627,4.97,6.58,0
BOV-1318,Cow,4,Gir,Yes,2,decreased,Yes,Yes,No,No,Yes,Yes,Yes,No,No,827650,7.68,7.04,1
BOV-1319,Cow,6,Holstein,No,5,decreased,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,934964,8.47,6.88,1
BOV-1320,Cow,6,Sahiwal,No,4,normal,No,No,No,No,No,No,No,No,No,132793,5.03,6.6,0
BOV-1321,Cow,2,Jersey,No,1,normal,No,No,Yes,No,No,Don't Know,No,No,No,162590,5.47,6.5,0
BOV-1322,Cow,9,Gir,No,8,normal,No,Yes,No,No,No,No,No,No,No,156121,5.0,6.68,0
BOV-1323,Cow,9,Gir,No,7,normal,No,No,No,No,No,No,No,No,No,97060,5.52,6.63,0
BOV-1324,Buffalo,5,Local,No,3,normal,Yes,No,No,No,No,No,No,No,No,161502,5.08,6.54,0
BOV-1325,Cow,8,Sahiwal,No,7,normal,No,No,No,No,No,No,No,No,No,155586,4.92,6.69,0
BOV-1326,Cow,11,Sahiwal,No,8,decreased,No,No,No,No,No,Yes,No,No,No,181135,5.76,6.7,0
BOV-1327,Cow,4,Crossbred,No,3,normal,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,2014780,8.08,6.96,1
BOV-1328,Cow,7,Crossbred,No,6,normal,No,No,Yes,No,No,No,No,Yes,No,182654,4.96,6.52,0
BOV-1329,Cow,11,Jersey,Yes,8,decreased,No,No,No,No,No,No,No,No,No,69862,5.39,6.67,0
BOV-1330,Cow,11,Jersey,No,8,normal,No,No,No,No,No,No,No,No,No,108673,4.58,6.65,0
BOV-1331,Buffalo,10,Jafarabadi,No,8,decreased,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,1007605,8.45,6.92,1
BOV-1332,Cow,2,Holstein,No,1,normal,No,No,No,No,No,Yes,No,No,No,104839,5.53,6.66,0
BOV-1333,Cow,6,Crossbred,No,5,normal,No,No,No,No,No,No,Don't Know,No,No,89351,5.11,6.61,0
BOV-1334,Cow,5,Gir,No,3,decreased,Yes,No,No,No,Yes,Yes,Yes,No,Yes,2213150,6.83,7.06,1
BOV-1335,Cow,9,Crossbred,Yes,8,decreased,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,591807,7.39,6.97,1
BOV-1336,Buffalo,2,Jafarabadi,No,1,decreased,Yes,Yes,No,No,Yes,No,No,No,Yes,2193272,7.12,6.94,1
BOV-1337,Cow,10,Sahiwal,Yes,8,normal,No,No,No,No,No,No,No,No,No,105992,5.74,6.67,0
BOV-1338,Cow,7,Crossbred,No,5,normal,Yes,Yes,No,No,Yes,Don't Know,Yes,Yes,No,1091159,8.73,7.16,1
BOV-1339,Cow,5,Sahiwal,No,3,normal,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1516375,8.03,7.14,1
BOV-1340,Cow,10,Jersey,No,8,normal,No,No,No,No,No,No,No,No,No,152758,4.65,6.49,0
BOV-1341,Cow,6,Jersey,No,4,normal,No,No,No,No,No,No,No,No,No,132947,5.12,6.55,0
BOV-1342,Cow,6,Holstein,No,4,decreased,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,1801668,8.96,7.39,1
BOV-1343,Cow,6,Crossbred,No,4,decreased,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,869663,7.4,7.0,1
BOV-1344,Cow,2,Sahiwal,No,1,decreased,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,455826,9.01,6.87,1
BOV-1345,Cow,2,Gir,Yes,1,decreased,Yes,Yes,No,No,No,No,No,No,Yes,667557,8.36,7.39,1
BOV-1346,Cow,9,Jersey,No,7,normal,No,No,No,No,No,No,No,No,Yes,95425,5.18,6.5,0
BOV-1347,Cow,9,Jersey,Yes,7,decreased,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,1379186,8.35,7.02,1
BOV-1348,Cow,7,Gir,No,6,decreased,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,820358,6.85,7.0,1
BOV-1349,Cow,5,Sahiwal,Don't Know,4,normal,No,No,No,No,No,No,No,No,No,121739,4.67,6.67,0
BOV-1350,Cow,3,Sahiwal,Yes,1,normal,No,No,No,No,No,Don't Know,No,No,No,180978,5.37,6.67,0
BOV-1351,Buffalo,3,Murrah,No,1,normal,No,No,No,No,No,No,No,No,No,124487,4.81,6.44,0
BOV-1352,Cow,10,Crossbred,No,8,normal,No,No,No,No,No,No,No,No,No,61405,4.72,6.42,0
BOV-1353,Cow,6,Holstein,No,5,decreased,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,677539,6.98,7.06,1
BOV-1354,Cow,5,Jersey,No,4,decreased,No,No,No,No,No,No,Don't Know,No,Yes,177572,4.56,6.62,0
BOV-1355,Cow,11,Crossbred,No,8,normal,No,No,No,No,No,No,No,No,No,194957,5.6,6.51,0
BOV-1356,Cow,2,Sahiwal,No,1,decreased,No,No,No,No,No,Don't Know,No,No,No,117978,4.88,6.48,0
BOV-1357,Cow,8,Gir,No,6,normal,No,No,No,No,No,No,No,No,No,188655,5.5,6.69,0
BOV-1358,Buffalo,4,Local,No,3,decreased,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,1180551,8.75,7.31,1
BOV-1359,Cow,7,Jersey,Don't Know,6,normal,No,Yes,No,No,No,No,No,No,No,158154,4.99,6.54,0
BOV-1360,Cow,6,Sahiwal,No,4,decreased,No,Yes,No,Yes,Yes,Yes,Don't Know,No,Yes,995803,7.84,7.05,1
BOV-1361,Cow,6,Holstein,No,4,normal,No,No,No,No,No,Yes,No,No,No,192818,4.9,6.47,0
BOV-1362,Cow,6,Jersey,Yes,4,normal,No,No,No,No,No,Don't Know,No,No,No,160038,5.19,6.59,0
BOV-1363,Cow,2,Gir,No,1,normal,No,No,No,No,No,Yes,Don't Know,No,No,148180,5.18,6.63,0
BOV-1364,Buffalo,2,Nili-Ravi,No,1,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2365219,6.73,7.28,1
BOV-1365,Cow,4,Holstein,Yes,3,normal,No,No,No,No,No,Don't Know,No,No,No,146442,5.4,6.64,0
BOV-1366,Buffalo,11,Nili-Ravi,No,8,decreased,No,No,No,No,No,Don't Know,No,No,No,101689,4.71,6.55,0
BOV-1367,Buffalo,5,Jafarabadi,No,3,normal,No,No,No,No,No,No,Don't Know,No,No,133660,4.7,6.45,0
BOV-1368,Cow,6,Holstein,No,5,normal,No,No,No,No,No,No,No,No,No,66750,5.76,6.69,0
BOV-1369,Cow,3,Holstein,No,1,normal,No,No,No,No,No,No,No,No,No,164846,4.88,6.42,0
BOV-1370,Cow,9,Jersey,No,8,decreased,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1124043,8.28,6.98,1
BOV-1371,Cow,3,Crossbred,Yes,1,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1084848,6.89,7.24,1
BOV-1372,Cow,10,Holstein,No,8,decreased,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,2137700,8.87,7.09,1
BOV-1373,Cow,3,Holstein,No,2,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2461318,8.55,7.11,1
BOV-1374,Cow,10,Gir,Don't Know,8,normal,No,No,No,No,No,No,No,No,No,84812,5.66,6.56,0
BOV-1375,Cow,8,Sahiwal,No,6,normal,No,No,No,No,No,No,No,No,No,94370,5.71,6.58,0
BOV-1376,Buffalo,9,Nili-Ravi,No,8,normal,No,No,No,No,No,No,No,No,No,191198,4.51,6.67,0
BOV-1377,Cow,3,Jersey,No,1,normal,No,Yes,No,No,Yes,No,No,No,No,122457,5.27,6.44,0
BOV-1378,Buffalo,8,Murrah,No,6,normal,No,No,No,No,No,No,No,No,No,53549,5.53,6.4,0
BOV-1379,Cow,7,Crossbred,No,5,normal,Yes,No,No,No,No,No,No,No,No,181366,5.62,6.6,0
BOV-1380,Cow,5,Jersey,No,4,normal,No,No,No,No,No,Don't Know,Yes,No,No,169430,5.39,6.61,0
BOV-1381,Cow,8,Crossbred,No,7,normal,No,No,No,No,No,No,No,No,No,90843,5.12,6.53,0
BOV-1382,Cow,5,Gir,No,3,decreased,No,No,No,No,No,Don't Know,No,No,No,152642,5.47,6.46,0
BOV-1383,Buffalo,3,Nili-Ravi,No,2,normal,No,No,No,No,No,No,No,No,No,135605,4.59,6.41,0
BOV-1384,Cow,11,Jersey,Yes,8,decreased,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1021064,8.58,7.01,1
BOV-1385,Buffalo,8,Local,Yes,6,normal,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2427476,7.87,7.18,1
BOV-1386,Cow,9,Crossbred,Yes,7,decreased,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,1993274,7.26,6.93,1
BOV-1387,Cow,3,Jersey,Yes,1,normal,No,No,No,No,Yes,No,No,No,No,84337,5.32,6.49,0
BOV-1388,Buffalo,6,Local,No,4,normal,No,No,No,No,No,No,No,Yes,No,146662,4.9,6.49,0
BOV-1389,Buffalo,2,Murrah,No,1,normal,No,No,No,No,Yes,Don't Know,No,No,No,58888,5.18,6.55,0
BOV-1390,Buffalo,8,Nili-Ravi,No,6,decreased,No,No,No,No,No,No,No,No,No,154923,5.58,6.46,0
BOV-1391,Cow,9,Jersey,No,8,decreased,Yes,Yes,No,Yes,Yes,No,Yes,No,No,797605,8.71,7.36,1
BOV-1392,Cow,7,Holstein,Don't Know,6,normal,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,808032,8.79,6.98,1
BOV-1393,Buffalo,6,Murrah,No,4,decreased,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1539546,8.85,7.21,1
BOV-1394,Cow,7,Holstein,No,5,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Don't Know,No,Yes,1956715,6.8,7.32,1
BOV-1395,Buffalo,3,Nili-Ravi,No,2,normal,No,No,No,Yes,No,No,No,No,No,79877,4.69,6.64,0
BOV-1396,Buffalo,2,Nili-Ravi,No,1,decreased,Yes,Yes,No,No,Yes,Yes,No,Yes,No,2473518,8.0,6.97,1
BOV-1397,Cow,8,Sahiwal,Yes,7,decreased,Yes,No,No,No,Yes,Yes,Yes,Yes,No,843668,8.22,7.19,1
BOV-1398,Buffalo,8,Jafarabadi,No,6,normal,No,No,No,No,No,No,No,No,No,150607,5.34,6.61,0
BOV-1399,Buffalo,11,Murrah,Don't Know,8,decreased,Yes,No,No,No,Yes,Yes,Yes,No,Yes,1500794,7.74,7.19,1
BOV-1400,Cow,11,Jersey,No,8,normal,No,No,No,No,No,No,Yes,No,No,150006,5.61,6.57,0
BOV-1401,Buffalo,3,Nili-Ravi,Yes,1,normal,No,No,No,No,No,No,Don't Know,No,No,136802,4.88,6.61,0
BOV-1402,Cow,3,Crossbred,No,1,normal,No,No,No,No,No,No,Don't Know,No,No,131251,4.53,6.56,0
BOV-1403,Buffalo,2,Jafarabadi,No,1,normal,No,No,No,No,No,No,No,No,No,112691,5.79,6.68,0
BOV-1404,Cow,11,Holstein,Yes,8,decreased,Yes,No,No,Yes,Yes,No,Yes,No,No,2114216,8.5,7.24,1
BOV-1405,Buffalo,9,Jafarabadi,No,7,decreased,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2163962,8.44,7.11,1
BOV-1406,Cow,9,Gir,No,7,decreased,No,No,No,No,No,No,No,No,No,104938,4.55,6.43,0
BOV-1407,Cow,2,Jersey,No,1,decreased,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,705709,7.01,7.01,1
BOV-1408,Buffalo,9,Local,Yes,7,normal,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1274368,8.24,7.13,1
BOV-1409,Cow,10,Crossbred,No,8,decreased,Yes,Yes,No,No,No,Yes,Yes,No,No,962497,7.94,7.21,1
BOV-1410,Cow,5,Holstein,No,3,normal,No,No,No,No,No,No,No,No,No,141775,5.05,6.55,0
BOV-1411,Buffalo,2,Murrah,No,1,decreased,No,No,No,No,No,No,No,No,No,130754,4.64,6.68,0
BOV-1412,Buffalo,2,Jafarabadi,Yes,1,normal,No,No,No,No,No,No,Don't Know,No,No,137197,5.21,6.58,0
BOV-1413,Cow,4,Jersey,No,2,normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1087201,9.16,7.3,1
BOV-1414,Cow,6,Crossbred,No,5,normal,No,No,No,No,No,Don't Know,No,No,No,176905,5.17,6.52,0
BOV-1415,Cow,6,Holstein,No,4,normal,No,No,No,No,No,Don't Know,No,No,No,85809,5.53,6.59,0
BOV-1416,Cow,10,Jersey,No,8,normal,No,No,No,No,No,No,Don't Know,No,No,82411,4.57,6.64,0
BOV-1417,Cow,11,Crossbred,Yes,8,normal,No,No,No,No,Yes,No,No,No,No,88946,5.19,6.65,0
BOV-1418,Cow,3,Sahiwal,No,1,normal,No,No,No,No,No,No,No,No,No,97965,4.73,6.63,0
BOV-1419,Buffalo,3,Nili-Ravi,Yes,1,normal,No,No,No,No,No,No,No,No,No,90290,5.8,6.67,0
BOV-1420,Buffalo,7,Nili-Ravi,No,5,normal,No,No,No,No,No,No,No,No,No,133179,5.08,6.6,0
BOV-1421,Buffalo,10,Nili-Ravi,Yes,8,decreased,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2019489,7.83,7.33,1
BOV-1422,Cow,2,Jersey,No,1,normal,No,No,No,No,No,No,No,No,No,139351,5.15,6.7,0
BOV-1423,Cow,10,Sahiwal,No,8,normal,No,No,No,No,No,No,No,No,No,154704,4.73,6.58,0
BOV-1424,Cow,10,Gir,No,8,decreased,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,1262282,7.6,7.14,1
BOV-1425,Cow,10,Holstein,Yes,8,decreased,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1570692,8.42,6.83,1
BOV-1426,Cow,6,Gir,No,5,decreased,No,No,No,No,No,No,No,No,No,144820,5.7,6.42,0
BOV-1427,Buffalo,10,Murrah,Yes,8,decreased,Yes,No,No,No,Yes,No,Yes,Yes,Yes,1639078,8.44,6.86,1
